"Part";"Value";"Device";"Package";"Description";"DATASHEET";"DATASHEET_CABLE";"DATASHEET_CONNECTOR";"DIST";"DISTLINK";"DISTLINK_CABLE";"DISTLINK_CONNECTOR";"DISTLINK_CONNECTOR1";"DISTLINK_CONNECTOR2";"DISTPN";"DISTPN_CABLE";"DISTPN_CONNECTOR";"DISTPN_CONNECTOR1";"DISTPN_CONNECTOR2";"DIST_CABLE";"DIST_CONNECTOR";"MFR";"MFR_CABLE";"MFR_CONNECTOR";"MPN";"MPN_CABLE";"MPN_CONNECTOR";"MPN_CONNECTOR1";"MPN_CONNECTOR2";"QTY_CONNECTOR1";"QTY_CONNECTOR2";"VALUE";
"ARDUINO1";"Arduino UNO R3";"ARDUINO_UNO_R3_NO-HOLES_NO-AVR-ISP_NO-I2C_NO-NC_NO-IOREF";"ARDUINO_UNO_R3_NO-HOLES_NO-AVR-ISP_NO-I2C_NO-NC_NO-IOREF";"";"https://media.digikey.com/pdf/Data%20Sheets/Arduino%20PDFs/A000066_Web.pdf";"http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7066_CA.pdf";"http://www.sullinscorp.com/drawings/77____C___S___N-OMIT,_M500,_STRAIGHT,_C10436.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=1050-1024-ND";"https://www.digikey.com/products/en?keywords=AE1462-ND";"";"https://www.digikey.com/products/en?keywords=S1012E-06-ND";"https://www.digikey.com/products/en?keywords=PEC08SAAN";"1050-1024-ND";"AE1462-ND";"";"S1012E-06-ND";"S1012E-08-ND";"Digikey";"Digikey";"Arduino";"Assmann WSW Components";"Sullins Connector Solutions";"A000066";"AK672/2-1";"";"PEC06SAAN";"PEC08SAAN";"2";"2";"Arduino UNO R3";
"C0";"1000uF/16V";"1000UF-POLARIZED_PTH_16V-20%";"_AE_PTH_DIA8-LS3.5-H21.50";"";"http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=kzm";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=565-3567-ND";"";"";"";"";"565-3567-ND";"";"";"";"";"";"";"United Chemi-Con";"";"";"EKZM160ELL102MH20D";"";"";"";"";"";"";"1000uF/16V";
"C1";"0.1uF/35V";"0.1UF_SMD-0805_35V-10%";"CAPC2012X95_SMD-0805";"";"http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=GMK212BJ104KGHT&fileName=GMK212BJ104KGHT_SS&mode=specSheetDownload";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=587-3364-1-ND";"";"";"";"";"587-3364-1-ND";"";"";"";"";"";"";"Taiyo Yuden";"";"";"GMK212BJ104KGHT";"";"";"";"";"";"";"0.1uF/35V";
"C2";"0.1uF/35V";"0.1UF_SMD-0805_35V-10%";"CAPC2012X95_SMD-0805";"";"http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=GMK212BJ104KGHT&fileName=GMK212BJ104KGHT_SS&mode=specSheetDownload";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=587-3364-1-ND";"";"";"";"";"587-3364-1-ND";"";"";"";"";"";"";"Taiyo Yuden";"";"";"GMK212BJ104KGHT";"";"";"";"";"";"";"0.1uF/35V";
"C3";"0.1uF/35V";"0.1UF_SMD-0805_35V-10%";"CAPC2012X95_SMD-0805";"";"http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=GMK212BJ104KGHT&fileName=GMK212BJ104KGHT_SS&mode=specSheetDownload";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=587-3364-1-ND";"";"";"";"";"587-3364-1-ND";"";"";"";"";"";"";"Taiyo Yuden";"";"";"GMK212BJ104KGHT";"";"";"";"";"";"";"0.1uF/35V";
"C4";"0.1uF/35V";"0.1UF_SMD-0805_35V-10%";"CAPC2012X95_SMD-0805";"";"http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=GMK212BJ104KGHT&fileName=GMK212BJ104KGHT_SS&mode=specSheetDownload";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=587-3364-1-ND";"";"";"";"";"587-3364-1-ND";"";"";"";"";"";"";"Taiyo Yuden";"";"";"GMK212BJ104KGHT";"";"";"";"";"";"";"0.1uF/35V";
"C5";"1000uF/16V";"1000UF-POLARIZED_PTH_16V-20%";"_AE_PTH_DIA8-LS3.5-H21.50";"";"http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=kzm";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=565-3567-ND";"";"";"";"";"565-3567-ND";"";"";"";"";"";"";"United Chemi-Con";"";"";"EKZM160ELL102MH20D";"";"";"";"";"";"";"1000uF/16V";
"C6";"1000uF/16V";"1000UF-POLARIZED_PTH_16V-20%";"_AE_PTH_DIA8-LS3.5-H21.50";"";"http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=kzm";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=565-3567-ND";"";"";"";"";"565-3567-ND";"";"";"";"";"";"";"United Chemi-Con";"";"";"EKZM160ELL102MH20D";"";"";"";"";"";"";"1000uF/16V";
"D4";"1A/50V";"DIODE_GENERAL-PURPOSE_SMD_GP_1A-50V";"SODFL3516X170";"";"http://www.comchiptech.com/cms/UserFiles/CGRKM4001-HF%20Thru.%20CGRKM4007-HF%20RevG.pdf";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=641-1511-1-ND";"";"";"";"";"641-1511-1-ND";"";"";"";"";"";"";"Comchip Technology";"";"";"CGRKM4001-HF";"";"";"";"";"";"";"1A/50V";
"D5";"1A/50V";"DIODE_GENERAL-PURPOSE_SMD_GP_1A-50V";"SODFL3516X170";"";"http://www.comchiptech.com/cms/UserFiles/CGRKM4001-HF%20Thru.%20CGRKM4007-HF%20RevG.pdf";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=641-1511-1-ND";"";"";"";"";"641-1511-1-ND";"";"";"";"";"";"";"Comchip Technology";"";"";"CGRKM4001-HF";"";"";"";"";"";"";"1A/50V";
"J1";"5A/28V";"POWER_JACK-BARREL_ID2.1MM-OD5.5MM_PTH_ID2.1MM-OD5.5MM";"POWER_JACK_PTH_ID2.1MM-OD5.5MM";"";"https://www.cui.com/product/resource/pj-102a.pdf";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=CP-102A-ND";"";"";"";"";"CP-102A-ND";"";"";"";"";"";"";"CUI Inc.";"";"";"PJ-102A";"";"";"";"";"";"";"5A/28V";
"LIPO1";"BATTERY_LIPO_2S";"BATTERY_LIPO_2S";"DUAL_PTH_PADS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PLAY_LED";"GREEN";"LED_SMD-0805_DISCRETE_GREEN";"LEDC2012X120_LED-0805";"";"http://optoelectronics.liteon.com/upload/download/DS22-2000-073/LTST-C170KGKT.pdf";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=160-1414-1-ND";"";"";"";"";"160-1414-1-ND";"";"";"";"";"";"";"Lite-On Inc.";"";"";"LTST-C170KGKT";"";"";"";"";"";"";"GREEN";
"POT1";"10K";"POTENTIOMETER_CONNECTOR_PTH_VERT_FEMALE_2.54MM";"HDRVR3W64P254_1X3_812X254X850B";"";"http://www.ttelectronics.com/sites/default/files/download-files/Datasheet_RotaryPanelPot_P160series.pdf";"";"https://drawings-pdf.s3.amazonaws.com/10492.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=987-1715-ND";"";"https://www.digikey.com/products/en?keywords=PPTC031LFBN-RC";"";"";"987-1715-ND";"";"S7001-ND";"";"";"";"Digikey";"TT Electronics/BI";"";"Sullins Connector Solutions";"P160KN2-0QA25B10K";"";"PPTC031LFBN-RC";"";"";"";"";"10K";
"POT2";"10K";"POTENTIOMETER_CONNECTOR_PTH_VERT_FEMALE_2.54MM";"HDRVR3W64P254_1X3_812X254X850B";"";"http://www.ttelectronics.com/sites/default/files/download-files/Datasheet_RotaryPanelPot_P160series.pdf";"";"https://drawings-pdf.s3.amazonaws.com/10492.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=987-1715-ND";"";"https://www.digikey.com/products/en?keywords=PPTC031LFBN-RC";"";"";"987-1715-ND";"";"S7001-ND";"";"";"";"Digikey";"TT Electronics/BI";"";"Sullins Connector Solutions";"P160KN2-0QA25B10K";"";"PPTC031LFBN-RC";"";"";"";"";"10K";
"POT3";"10K";"POTENTIOMETER_CONNECTOR_PTH_VERT_FEMALE_2.54MM";"HDRVR3W64P254_1X3_812X254X850B";"";"http://www.ttelectronics.com/sites/default/files/download-files/Datasheet_RotaryPanelPot_P160series.pdf";"";"https://drawings-pdf.s3.amazonaws.com/10492.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=987-1715-ND";"";"https://www.digikey.com/products/en?keywords=PPTC031LFBN-RC";"";"";"987-1715-ND";"";"S7001-ND";"";"";"";"Digikey";"TT Electronics/BI";"";"Sullins Connector Solutions";"P160KN2-0QA25B10K";"";"PPTC031LFBN-RC";"";"";"";"";"10K";
"POT4";"10K";"POTENTIOMETER_CONNECTOR_PTH_VERT_FEMALE_2.54MM";"HDRVR3W64P254_1X3_812X254X850B";"";"http://www.ttelectronics.com/sites/default/files/download-files/Datasheet_RotaryPanelPot_P160series.pdf";"";"https://drawings-pdf.s3.amazonaws.com/10492.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=987-1715-ND";"";"https://www.digikey.com/products/en?keywords=PPTC031LFBN-RC";"";"";"987-1715-ND";"";"S7001-ND";"";"";"";"Digikey";"TT Electronics/BI";"";"Sullins Connector Solutions";"P160KN2-0QA25B10K";"";"PPTC031LFBN-RC";"";"";"";"";"10K";
"PWR_LED";"BLUE";"LED_SMD-0805_DISCRETE_BLUE";"LEDC2012X120_LED-0805";"";"http://optoelectronics.liteon.com/upload/download/DS-22-99-0226/LTST-C170TBKT.pdf";"";"";"Digikey";"https://www.digikey.com/products/en?keywords=160-1579-1-ND";"";"";"";"";"160-1579-1-ND";"";"";"";"";"";"";"Lite-On Inc.";"";"";"LTST-C170TBKT";"";"";"";"";"";"";"BLUE";
